time_iso,time_ms,open,high,low,close,volume
2026-03-12T11:16:00.000Z,1773314160000,24839.5,24843.6,24838.1,24841.4,193
2026-03-12T11:17:00.000Z,1773314220000,24841.6,24851.6,24840.3,24849,267
2026-03-12T11:18:00.000Z,1773314280000,24848,24851.4,24836.7,24839.6,278
2026-03-12T11:19:00.000Z,1773314340000,24839.8,24843.6,24839.1,24841.7,208
2026-03-12T11:20:00.000Z,1773314400000,24841.6,24847.7,24841.6,24847.2,241
2026-03-12T11:21:00.000Z,1773314460000,24847.5,24855.5,24847,24854.5,215
2026-03-12T11:22:00.000Z,1773314520000,24854.3,24855.6,24851.5,24852,214
2026-03-12T11:23:00.000Z,1773314580000,24852.1,24855.2,24848.6,24853.5,216
2026-03-12T11:24:00.000Z,1773314640000,24853.9,24862.1,24853.8,24858.1,228
2026-03-12T11:25:00.000Z,1773314700000,24858.3,24859.8,24854.3,24856.9,200
2026-03-12T11:26:00.000Z,1773314760000,24856.9,24861.9,24848,24849.3,195
2026-03-12T11:27:00.000Z,1773314820000,24849.3,24851.3,24824.5,24843,361
2026-03-12T11:28:00.000Z,1773314880000,24843.2,24852,24842.2,24850,285
2026-03-12T11:29:00.000Z,1773314940000,24850.1,24854.2,24847,24851.8,281
2026-03-12T11:30:00.000Z,1773315000000,24851.3,24873.3,24851.3,24872.6,355
2026-03-12T11:31:00.000Z,1773315060000,24872.7,24879,24871.3,24876.2,309
2026-03-12T11:32:00.000Z,1773315120000,24876.6,24877.3,24868.6,24872.7,287
2026-03-12T11:33:00.000Z,1773315180000,24873,24878.5,24872.5,24878.3,238
2026-03-12T11:34:00.000Z,1773315240000,24878.3,24881,24873.5,24876.1,244
2026-03-12T11:35:00.000Z,1773315300000,24875.8,24877.1,24871.6,24874,243
2026-03-12T11:36:00.000Z,1773315360000,24873.7,24883.2,24870.1,24883.2,250
2026-03-12T11:37:00.000Z,1773315420000,24883.3,24885.2,24879,24883.1,314
2026-03-12T11:38:00.000Z,1773315480000,24883.3,24885,24878.8,24883.4,270
2026-03-12T11:39:00.000Z,1773315540000,24882.8,24883.8,24875.5,24879,251
2026-03-12T11:40:00.000Z,1773315600000,24879.6,24884,24876.8,24882.7,231
2026-03-12T11:41:00.000Z,1773315660000,24881.1,24887.1,24881.1,24887,253
2026-03-12T11:42:00.000Z,1773315720000,24887.5,24892.2,24883.1,24891,280
2026-03-12T11:43:00.000Z,1773315780000,24891.5,24904.3,24891.2,24897.7,333
2026-03-12T11:44:00.000Z,1773315840000,24897.5,24898.2,24884.7,24887,309
2026-03-12T11:45:00.000Z,1773315900000,24887.1,24887.7,24873.7,24874,300
2026-03-12T11:46:00.000Z,1773315960000,24874.1,24883.3,24874,24883.2,269
2026-03-12T11:47:00.000Z,1773316020000,24883.7,24883.8,24873.5,24876.2,260
2026-03-12T11:48:00.000Z,1773316080000,24876.7,24879.3,24872.6,24874,285
2026-03-12T11:49:00.000Z,1773316140000,24873.8,24875.8,24866.5,24867.6,277
2026-03-12T11:50:00.000Z,1773316200000,24867.5,24870.1,24857.5,24860.1,315
2026-03-12T11:51:00.000Z,1773316260000,24860.1,24862.5,24844.6,24846.5,377
2026-03-12T11:52:00.000Z,1773316320000,24846.7,24849,24842,24844,310
2026-03-12T11:53:00.000Z,1773316380000,24844.2,24847.7,24843,24845.2,271
2026-03-12T11:54:00.000Z,1773316440000,24845.2,24845.2,24836.7,24837.2,291
2026-03-12T11:55:00.000Z,1773316500000,24837.5,24843.2,24836,24841.8,283
2026-03-12T11:56:00.000Z,1773316560000,24841.8,24843.5,24834,24835.6,291
2026-03-12T11:57:00.000Z,1773316620000,24834.8,24838.7,24829.1,24830.5,317
2026-03-12T11:58:00.000Z,1773316680000,24830.6,24834,24830,24832.1,288
2026-03-12T11:59:00.000Z,1773316740000,24832.2,24838,24832,24833.5,275
2026-03-12T12:00:00.000Z,1773316800000,24834.2,24838.7,24830.1,24831,342
2026-03-12T12:01:00.000Z,1773316860000,24830.8,24833.3,24815.8,24816.7,367
2026-03-12T12:02:00.000Z,1773316920000,24816.8,24821.6,24814.7,24816.2,347
2026-03-12T12:03:00.000Z,1773316980000,24815.5,24820.6,24812.6,24817.3,321
2026-03-12T12:04:00.000Z,1773317040000,24817.3,24818.1,24808.6,24813.7,317
2026-03-12T12:05:00.000Z,1773317100000,24813.2,24815.7,24802,24802,295
2026-03-12T12:06:00.000Z,1773317160000,24802.7,24803.3,24787.7,24788.1,381
2026-03-12T12:07:00.000Z,1773317220000,24788.6,24795.5,24786.6,24788.8,381
2026-03-12T12:08:00.000Z,1773317280000,24789,24802.2,24789,24798.7,373
2026-03-12T12:09:00.000Z,1773317340000,24799,24805.6,24791.5,24798,324
2026-03-12T12:10:00.000Z,1773317400000,24798,24800.7,24793.5,24796.6,342
2026-03-12T12:11:00.000Z,1773317460000,24796.6,24806.6,24796.3,24797.2,342
2026-03-12T12:12:00.000Z,1773317520000,24797.2,24812.2,24796.7,24806.8,331
2026-03-12T12:13:00.000Z,1773317580000,24806.7,24818.8,24806.5,24810,330
2026-03-12T12:14:00.000Z,1773317640000,24809.2,24814.1,24807.7,24810,262
2026-03-12T12:15:00.000Z,1773317700000,24810.2,24817.6,24809.7,24817.6,274
2026-03-12T12:16:00.000Z,1773317760000,24818.5,24819.8,24806.2,24807.7,365
2026-03-12T12:17:00.000Z,1773317820000,24808.2,24811.2,24799.7,24807,326
2026-03-12T12:18:00.000Z,1773317880000,24807.1,24813.7,24806.3,24811.1,300
2026-03-12T12:19:00.000Z,1773317940000,24811.1,24811.7,24806.2,24806.5,267
2026-03-12T12:20:00.000Z,1773318000000,24806.7,24810.2,24802.3,24802.8,299
2026-03-12T12:21:00.000Z,1773318060000,24803.6,24803.6,24794.7,24796.7,312
2026-03-12T12:22:00.000Z,1773318120000,24796.7,24804.5,24794.5,24799.2,298
2026-03-12T12:23:00.000Z,1773318180000,24799.2,24805.5,24797.6,24802.5,344
2026-03-12T12:24:00.000Z,1773318240000,24802.5,24813.5,24802.3,24806.5,336
2026-03-12T12:25:00.000Z,1773318300000,24806.2,24812.6,24801.6,24812,291
2026-03-12T12:26:00.000Z,1773318360000,24812.2,24813.2,24807,24810.5,273
2026-03-12T12:27:00.000Z,1773318420000,24809.8,24813.5,24807,24813.5,255
2026-03-12T12:28:00.000Z,1773318480000,24813.6,24819.8,24813.1,24817.8,270
2026-03-12T12:29:00.000Z,1773318540000,24818,24818.7,24812.6,24817,268
2026-03-12T12:30:00.000Z,1773318600000,24818.1,24818.6,24791.5,24793,314
2026-03-12T12:31:00.000Z,1773318660000,24793.1,24803,24782.2,24802.7,413
2026-03-12T12:32:00.000Z,1773318720000,24801.8,24806.1,24795.1,24800.3,377
2026-03-12T12:33:00.000Z,1773318780000,24800.6,24804.7,24793.2,24798.1,324
2026-03-12T12:34:00.000Z,1773318840000,24797.8,24799.6,24791.7,24793.6,314
2026-03-12T12:35:00.000Z,1773318900000,24793.8,24798.8,24791.8,24793,318
2026-03-12T12:36:00.000Z,1773318960000,24792.6,24792.6,24784.8,24787.1,327
2026-03-12T12:37:00.000Z,1773319020000,24786.8,24791.6,24782.6,24785.1,315
2026-03-12T12:38:00.000Z,1773319080000,24785.1,24791.2,24785.1,24789,295
2026-03-12T12:39:00.000Z,1773319140000,24789,24793.2,24778.8,24779.2,317
2026-03-12T12:40:00.000Z,1773319200000,24778.7,24785.3,24778.1,24782.2,328
2026-03-12T12:41:00.000Z,1773319260000,24782.1,24789.3,24780.5,24788,315
2026-03-12T12:42:00.000Z,1773319320000,24788,24794.7,24786.1,24788.2,312
